id,state,cwa,name,lon,lat,poi_dist_mi,method,polygons,vertices
ARZ140,AR,LZK,"Polk County Lower Elevations",-94.36202,34.2794,6.04,poi,1,72
ARZ141,AR,LZK,"Central and Eastern Montgomery County",-93.58157,34.52676,9.87,poi,1,46
ARZ203,AR,LZK,"Boone County Higher Elevations",-93.24265,36.19776,3.16,poi,1,15
ARZ212,AR,LZK,"Newton County Lower Elevations",-93.01936,36.05187,4.35,poi,1,40
ARZ213,AR,LZK,"Northwest Searcy County Higher Elevations",-92.88059,36.03989,3.14,poi,1,42
ARZ219,AR,TSA,"Southern Crawford",-94.26109,35.49331,6.77,poi,1,180
ARZ220,AR,TSA,"Central and Southern Franklin",-93.89626,35.50643,7.3,poi,1,145
ARZ221,AR,LZK,"Johnson County Higher Elevations",-93.58929,35.66819,6.09,poi,1,76
ARZ222,AR,LZK,"Pope County Higher Elevations",-93.02394,35.61064,7.94,poi,1,61
ARZ223,AR,LZK,"Van Buren County Higher Elevations",-92.69432,35.62501,6.57,poi,1,77
ARZ229,AR,TSA,"Southern Sebastian",-94.34516,35.03894,5.26,poi,1,88
ARZ230,AR,LZK,"Southern and Eastern Logan County",-93.58118,35.21334,4.59,poi,1,80
ARZ237,AR,LZK,"Central and Southern Scott County",-94.09908,34.81773,8.55,poi,1,52
ARZ238,AR,LZK,"Yell Excluding Northwest",-93.49672,34.87322,8.93,poi,1,252
ARZ240,AR,LZK,"Northern Polk County Higher Elevations",-94.37973,34.65832,4.37,poi,1,44
ARZ241,AR,LZK,"Northern Montgomery County Higher Elevations",-93.71042,34.70237,2.81,poi,1,37
ARZ313,AR,LZK,"Eastern, Central, and Southern Searcy County Higher Elevations",-92.78317,35.80381,5.64,poi,1,98
ARZ340,AR,LZK,"Southeast Polk County Higher Elevations",-94.04588,34.44402,6.33,poi,1,33
ARZ341,AR,LZK,"Southwest Montgomery County Higher Elevations",-93.83983,34.42384,5.23,poi,1,30
AZZ101,AZ,VEF,"Lake Mead NRA/Colorado River-AZ side",-113.91584,36.11146,9.27,poi,1,681
AZZ102,AZ,VEF,"Northwest Deserts/Northwest Plateau",-113.91215,35.45799,32.45,poi,1,836
AZZ104,AZ,FGZ,"Kaibab Plateau",-112.3376,36.6699,16.02,poi,1,1301
AZZ105,AZ,FGZ,"Marble and Glen Canyons",-111.88644,36.62416,6.16,poi,2,871
AZZ106,AZ,FGZ,"Grand Canyon Country",-112.57739,36.23845,9.04,poi,1,911
AZZ107,AZ,FGZ,"Coconino Plateau",-112.89644,35.77455,24.06,poi,1,493
AZZ108,AZ,FGZ,"Yavapai County  Mountains",-113.09826,35.06522,13.24,poi,5,5077
AZZ109,AZ,FGZ,"Northeast Plateaus and Mesas Hwy 264 Northward",-111.19274,36.51443,21.75,poi,1,9090
AZZ110,AZ,FGZ,"Chinle Valley",-109.72933,36.68867,21.26,poi,1,1793
AZZ111,AZ,FGZ,"Chuska Mountains and Defiance Plateau",-109.29872,35.71127,14.13,poi,1,1260
AZZ112,AZ,FGZ,"Little Colorado River Valley in Coconino County",-111.0349,35.34012,15.83,poi,1,1317
AZZ113,AZ,FGZ,"Little Colorado River Valley in Navajo County",-110.35721,34.85111,21.38,poi,1,187
AZZ114,AZ,FGZ,"Little Colorado River Valley in Apache County",-109.45369,34.56429,23.15,poi,1,116
AZZ115,AZ,FGZ,"Western Mogollon Rim",-111.71013,35.31489,18.41,poi,1,684
AZZ116,AZ,FGZ,"Eastern Mogollon Rim",-110.44837,34.24612,16.99,poi,1,739
AZZ117,AZ,FGZ,"White Mountains",-109.68378,33.8934,18.16,poi,1,454
AZZ118,AZ,FGZ,"Northern Gila County",-111.04973,34.07454,17.07,poi,1,808
AZZ131,AZ,PSR,"Yuma/Martinez Lake and Vicinity/Lower Colorado River Valley AZ",-114.56322,32.58222,10.56,poi,1,640
AZZ132,AZ,PSR,"Central Deserts",-113.46541,33.25287,52.15,poi,1,462
AZZ133,AZ,PSR,"Southern Gila County/Tonto National Forest Foothills",-110.73517,33.41024,16.46,poi,1,394
AZZ137,AZ,FGZ,"Yavapai County Valleys and Basins",-113.08227,34.21101,14.31,poi,4,5441
AZZ138,AZ,FGZ,"Oak Creek and Sycamore Canyons",-111.97905,34.93588,4.84,poi,1,1077
AZZ139,AZ,FGZ,"Black Mesa Area",-109.95805,36.25684,8.12,poi,2,9031
AZZ140,AZ,FGZ,"Northeast Plateaus and Mesas South of Hwy 264",-109.94071,35.40449,23.49,poi,1,1920
AZZ150,AZ,TWC,"Pima-South Central Pinal-Tohono Oodham Nation",-112.11731,32.10119,28.33,poi,1,1488
AZZ151,AZ,TWC,"Eastern Pima-Southeastern Pinal-Santa Cruz-Western Cochise",-110.15194,31.69002,14.96,poi,2,10844
AZZ152,AZ,TWC,"Southern Graham-Central and Eastern Cochise-Southern Greenlee-Lower Elevations of the San Carlos Apache Nation in Graham County",-109.40809,32.55775,21.03,poi,3,23325
AZZ153,AZ,TWC,"Northern Graham-Northern Greenlee-White and Gila Mountains",-109.39226,33.51665,10.42,poi,3,10783
AZZ154,AZ,TWC,"Mountains above 5500 feet",-109.29993,31.8328,6.03,poi,20,21205
